trialnum,Orientation,Speed,Contrast,Phase
1,82.3014162899135,181.687588372191,0.7,0
2,150.181846116024,46.8062213588329,0.7,0
3,26.9929491564452,11.8592583080178,0.7,0
4,82.9539277068555,48.2538892264107,0.7,0
5,152.554343050914,11.1208706417775,0.7,0
6,34.8498097910768,172.342668924553,0.7,0
7,90.3971240997003,42.6434748253631,0.7,0
8,21.4506080611263,232.946116111015,0.7,0
9,146.121155400862,15.5863446119961,0.7,0
10,23.9531321291301,56.7223430457021,0.7,0
11,96.1907643690561,161.01412959671,0.7,0
12,146.659102860095,15.0425489989209,0.7,0
13,32.5726318067795,232.17159723231,0.7,0
14,157.292072605875,15.1037976252162,0.7,0
15,85.3811845125118,40.8909590575357,0.7,0
16,27.2291396932899,11.5717552048791,0.7,0
17,140.111572798155,203.725569924074,0.7,0
18,86.5834192733809,58.4395450853706,0.7,0
19,154.698255512238,61.8136146128221,0.7,0
20,87.0756469210599,187.117261720776,0.7,0
21,37.8799686848879,12.0806297214413,0.7,0
22,90.4568029671091,154.286052350907,0.7,0
23,142.20864883943,15.7332463323355,0.7,0
24,32.3256469506963,52.227380796307,0.7,0
25,22.2920229092084,56.887337692102,0.7,0
26,156.231333891177,13.7337131272291,0.7,0
27,92.7476702501191,151.931739149448,0.7,0
28,38.6308560308364,11.8962805339705,0.7,0
29,83.6682802631782,65.5263932027359,0.7,0
30,156.876759793414,153.756787538767,0.7,0
31,151.116911511259,10.6507685748888,0.7,0
32,28.4933658042913,220.788719094092,0.7,0
33,81.1993838741476,51.5217887695719,0.7,0
34,21.3332557699407,206.966567432268,0.7,0
35,145.460284129026,48.0875893380227,0.7,0
36,96.7759073740088,10.5723669396878,0.7,0
37,98.3447415202419,11.8026598879155,0.7,0
38,151.168048979522,214.304280851411,0.7,0
39,27.5445343372632,47.2828551675579,0.7,0
40,32.1820043834978,13.7329996386004,0.7,0
41,151.220223027074,173.982599339187,0.7,0
42,90.7808942265207,61.3052255839903,0.7,0
43,154.684472205003,12.6023493014518,0.7,0
44,96.1231991386081,238.638818934862,0.7,0
45,37.5586589886911,56.2934237778512,0.7,0
46,155.851346577262,49.4853580903939,0.7,0
47,29.0618107933731,229.744042799968,0.7,0
48,86.5358352585986,13.2852422561452,0.7,0
49,148.548331031206,258.376424756863,0.7,0
50,21.1441043440769,60.5848804340138,0.7,0
51,94.6024551943202,11.2432667482558,0.7,0
52,152.467330794659,10.6068703989153,0.7,0
53,86.227648017532,45.7646337206806,0.7,0
54,27.4002012488349,217.614904887451,0.7,0
55,142.715862570188,13.0631712642333,0.7,0
56,98.7926568708653,56.3372967128437,0.7,0
57,37.4422643385972,161.456561827229,0.7,0
58,91.6365403346855,62.002797215712,0.7,0
59,29.4298035891938,223.856577410525,0.7,0
60,152.733126185874,15.0621779087609,0.7,0
61,154.619077430694,42.202652656125,0.7,0
62,22.4092752435669,174.914083604037,0.7,0
63,94.8218639860351,9.68293483566023,0.7,0
64,147.021146744997,10.5268410401277,0.7,0
65,87.7855518269698,205.012904907441,0.7,0
66,24.1283830083688,38.567000111789,0.7,0
67,153.377946657258,14.9015666828642,0.7,0
68,90.6390487041012,172.464146837582,0.7,0
69,23.2876282721195,42.7735972158153,0.7,0
70,33.9082787824635,200.31349538135,0.7,0
71,157.914944981218,46.8238188416378,0.7,0
72,84.0551632254034,10.4800904637351,0.7,0
73,22.93864973371,51.1400727991928,0.7,0
74,89.1338810002134,10.5889921794528,0.7,0
75,141.780485579986,152.194496226956,0.7,0
76,83.5435223823265,65.3861447176365,0.7,0
77,26.4036475973202,188.486477336251,0.7,0
