trialnum,Orientation,TF,SF,Contrast,Phase
1,10.3548862135256,1.5,0.08,0.74118361760439,0
2,180.589446865807,1.5,0.08,0.630092327751622,0
3,85.6147434860177,1.5,0.08,0.739917808852453,0
4,268.920082470988,1.5,0.08,0.869412459645058,0
5,6.01672336238582,1.5,0.08,0.863087166104916,0
6,93.0852244353899,1.5,0.08,0.658027479383537,0
7,173.258132478363,1.5,0.08,0.723055172135889,0
8,271.304579880965,1.5,0.08,0.675314569113784,0
9,272.932384687031,1.5,0.08,0.72685502557639,0
10,184.450519369006,1.5,0.08,0.776696607623361,0
11,85.1936436952104,1.5,0.08,0.706473578036267,0
12,356.680041838737,1.5,0.08,0.670818882249303,0
13,82.1546229735738,1.5,0.08,0.860499406520573,0
14,1.70500672760396,1.5,0.08,0.547779712530772,0
15,181.895491526239,1.5,0.08,0.600289396911557,0
16,275.696375916319,1.5,0.08,0.719979317981159,0
17,76.7424936954937,1.5,0.08,0.798468977011744,0
18,358.554296738653,1.5,0.08,0.66170266468254,0
19,188.603827606924,1.5,0.08,0.697810289981011,0
20,270.232131723814,1.5,0.08,0.609321581433831,0
21,89.0166391668567,1.5,0.08,0.624583712700023,0
22,359.308260555903,1.5,0.08,0.739560175136258,0
23,268.890160629893,1.5,0.08,0.764463075261969,0
24,180.831766668442,1.5,0.08,0.675816383249235,0
25,90.6665460614666,1.5,0.08,0.700611273507401,0
26,264.865951710456,1.5,0.08,0.767872577849322,0
27,3.11112807098832,1.5,0.08,0.785984227275527,0
28,181.308456198111,1.5,0.08,0.708593071548851,0
29,92.2161958974473,1.5,0.08,0.740838822773745,0
30,174.717968507008,1.5,0.08,0.561112406049294,0
31,276.262711286652,1.5,0.08,0.569436680662279,0
32,357.782546873501,1.5,0.08,0.694913387804076,0
33,271.753069227377,1.5,0.08,0.785390545528383,0
34,97.6289874921445,1.5,0.08,0.901050553860138,0
35,3.69403181338777,1.5,0.08,0.632085091549346,0
36,171.182228475683,1.5,0.08,0.744971477993818,0
37,0.103509942853706,1.5,0.08,0.702902810129898,0
38,91.2083464802914,1.5,0.08,0.799485105757717,0
39,180.058235884275,1.5,0.08,0.715555171388804,0
40,264.871289073816,1.5,0.08,0.901071526276531,0
41,92.4886789596833,1.5,0.08,0.800251136875002,0
42,358.513639932646,1.5,0.08,0.667969320698645,0
43,269.187690732508,1.5,0.08,0.677783616136754,0
44,184.947839474873,1.5,0.08,0.642235416173429,0
45,357.625705610119,1.5,0.08,0.696805948452543,0
46,177.283012097079,1.5,0.08,0.81866649137404,0
47,266.444053270558,1.5,0.08,0.606629404339402,0
48,91.2491715057935,1.5,0.08,0.800261417940331,0
49,268.687641528798,1.5,0.08,0.77713990584582,0
50,349.300425407925,1.5,0.08,0.621404776768016,0
51,176.569128456115,1.5,0.08,0.784609273844721,0
52,92.1491423587423,1.5,0.08,0.785664930572147,0
53,359.493667026453,1.5,0.08,0.888723167565434,0
54,179.858009001449,1.5,0.08,0.64566386691823,0
55,101.527081104915,1.5,0.08,0.550435456012753,0
56,262.71417054296,1.5,0.08,0.592625956732021,0
57,271.242596654146,1.5,0.08,0.754137004206273,0
58,353.372732100228,1.5,0.08,0.807757679438601,0
59,174.895842643682,1.5,0.08,0.876842276579076,0
60,89.7356377387473,1.5,0.08,0.574566731396422,0
61,264.099208109303,1.5,0.08,0.810156309141805,0
62,179.914497029403,1.5,0.08,0.78841990495152,0
63,2.2301248824789,1.5,0.08,0.64901886124348,0
64,93.4364755005525,1.5,0.08,0.691123999568324,0
65,188.13172777022,1.5,0.08,0.940561320241408,0
66,87.7742716024551,1.5,0.08,0.626310029011375,0
67,273.763913924686,1.5,0.08,0.75717037973079,0
68,353.977193678318,1.5,0.08,0.654592002228558,0
69,94.1018703427114,1.5,0.08,0.640744540402292,0
70,359.825388097508,1.5,0.08,0.880825695788256,0
71,179.521152794297,1.5,0.08,0.705739401081648,0
72,268.854164572283,1.5,0.08,0.73706215047852,0
73,178.816332573289,1.5,0.08,0.605396879904121,0
74,4.06045097007842,1.5,0.08,0.734803977942415,0
75,266.185880191442,1.5,0.08,0.558035628882764,0
76,92.8141187776031,1.5,0.08,0.565974473457335,0
77,272.324344966562,1.5,0.08,0.718283963941731,0
78,358.501018016936,1.5,0.08,0.642372596903686,0
79,172.620353480222,1.5,0.08,0.792277515941281,0
80,91.1871624173152,1.5,0.08,0.621817737364312,0
81,98.9712829931883,1.5,0.08,0.801592494364518,0
82,182.017758916668,1.5,0.08,0.680605097213914,0
83,265.650867992157,1.5,0.08,0.634282496595734,0
84,354.962924283737,1.5,0.08,0.662094294889462,0
85,357.689821463858,1.5,0.08,0.869219293007888,0
86,93.5051206193598,1.5,0.08,0.771023531252455,0
87,185.111188511399,1.5,0.08,0.809867796482866,0
88,269.021024166249,1.5,0.08,0.842876998201613,0
89,274.365175702226,1.5,0.08,0.906259538771619,0
90,99.6875145783075,1.5,0.08,0.814820681390969,0
91,0.487098471593768,1.5,0.08,0.7350202801929,0
92,182.374187311094,1.5,0.08,0.663764405181451,0
93,99.6926264678092,1.5,0.08,0.821655245749129,0
94,170.380547568366,1.5,0.08,0.552145219279942,0
95,358.363506941735,1.5,0.08,0.784447596249022,0
96,278.003711351778,1.5,0.08,0.827882807902594,0
97,271.132645648408,1.5,0.08,0.69816008323668,0
98,184.572592841028,1.5,0.08,0.659606150531897,0
99,354.134037211685,1.5,0.08,0.586594408210528,0
100,98.0309831829709,1.5,0.08,0.655542988735157,0
101,95.3677550660632,1.5,0.08,0.54609588983123,0
102,4.97277046924234,1.5,0.08,0.706935885928128,0
103,177.572193054629,1.5,0.08,0.617712672432897,0
