trialnum,Orientation,TF,SF,Speed,Contrast,Phase
1,142.913250493331,3.88625451842419,0.038388688070036,101.234366523132,0.7,0
2,90.0180446695671,2.14902085511306,0.115599073106086,18.5902948645694,0.7,0
3,35.2585907880258,0.916661693472347,0.170370591401229,5.38039861183305,0.7,0
4,85.6042441852888,2.6859056545155,0.0917375264659778,29.2781564751651,0.7,0
5,146.595822445733,0.825561700479422,0.174419479978692,4.73319666232392,0.7,0
6,36.7652774945345,4.08883002811103,0.0293853320839542,139.145272084358,0.7,0
7,88.0525855905518,1.10678050433462,0.161920866474017,6.83531732775292,0.7,0
8,154.887869180832,3.86900665278343,0.0391552598762919,98.8119262905486,0.7,0
9,31.5180009535501,2.8414914606131,0.0848226017505287,33.4992254655215,0.7,0
10,92.6032036611901,0.916256247156657,0.170388611237482,5.3774500566802,0.7,0
11,147.533689085774,4.01351716275412,0.0327325705442614,122.61539793604,0.7,0
12,26.332720425582,2.22412389540662,0.11226116020415,19.8120515711933,0.7,0
13,83.277891895482,2.74055369356871,0.0893087247302796,30.6862929892396,0.7,0
14,30.8833908927684,1.26454146916841,0.15490926803696,8.16311047875263,0.7,0
15,140.467035563228,4.01732927922519,0.0325631431455473,123.370439434208,0.7,0
16,89.4450409813018,2.4756814428731,0.101080824761196,24.4920977714805,0.7,0
17,32.0793231782474,3.9070617708823,0.03746392129412,104.288649877543,0.7,0
18,152.96513517785,1.06066606020104,0.163970397324398,6.46864359365201,0.7,0
19,159.579128593214,4.08859128588894,0.0293959428493806,139.086924574528,0.7,0
20,85.7892221180634,0.91963541593757,0.17023842595833,5.40204369701275,0.7,0
21,22.043196337717,2.27337923101755,0.110072034176998,20.653558808243,0.7,0
22,157.152526135185,2.62096820396018,0.0946236353795474,27.6988745301018,0.7,0
23,86.2024336349071,0.851413967484187,0.173270490334036,4.91378517970836,0.7,0
24,36.6560612181696,4.18500188765501,0.025111027215333,166.659924015359,0.7,0
25,86.8839446060583,3.82347963826183,0.0411786827439188,92.8509457682075,0.7,0
26,22.6543596471461,0.965360753719609,0.168206188723573,5.73915122294379,0.7,0
27,150.469014188915,2.72036928358096,0.090205809618624,30.1573623149357,0.7,0
28,153.397631174789,2.4717375282883,0.101256109853853,24.410749453597,0.7,0
29,85.4166476647998,0.772797977270295,0.176764534343542,4.37190627712887,0.7,0
30,27.6712949614001,3.79925129392377,0.0422554980478324,89.9114072593131,0.7,0
31,25.228027081116,2.66108531032071,0.0928406528746351,28.6629318937905,0.7,0
32,152.315224830161,3.90854992561615,0.0373977810837269,104.512883180572,0.7,0
33,80.3147438403294,1.04747727347702,0.164556565623244,6.36545414951866,0.7,0
34,22.0171266331173,3.93648511803748,0.0361562169761119,108.874363726666,0.7,0
35,99.1923114992524,1.26409321181792,0.15492919058587,8.15916746894316,0.7,0
36,150.403339845466,2.41600162600017,0.103733261066659,23.2905203322167,0.7,0
37,146.418922124041,1.14749825869659,0.160111188502374,7.16688364773194,0.7,0
38,88.1926691144594,4.18759657386581,0.0249957078281865,167.532626107257,0.7,0
39,21.6215385682204,2.18281027098801,0.114097321289422,19.1311263605483,0.7,0
40,158.115126544552,4.14953336153223,0.026687406154123,155.48657436276,0.7,0
41,37.6200141283031,2.40764846068694,0.104104512858358,23.1272246954628,0.7,0
42,91.0928337143213,1.28812135247764,0.153861273223216,8.37196602818229,0.7,0
43,146.126960563234,1.19285624157371,0.158095278152279,7.54517311026038,0.7,0
44,38.0847882426414,4.18168369565346,0.0252585024154019,165.555488084028,0.7,0
45,84.5961457905463,2.27914051626869,0.109815977054725,20.7541796503155,0.7,0
46,152.23161453564,2.10547226026964,0.117534566210238,17.9136430086747,0.7,0
47,83.0158152350302,3.82034805032962,0.0413178644297946,92.4623792408483,0.7,0
48,26.3838912945072,1.20727305066996,0.157454531081335,7.66743924343671,0.7,0
49,146.109490589327,2.72483339052476,0.0900074048655662,30.2734357755846,0.7,0
50,95.6601395237985,0.859705619418704,0.17290197247028,4.97221406520668,0.7,0
