trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimA,stimC_25,179,1
2,G,stimA,stimC_25,203,1
3,N,stimB,stimC_25,171,0
4,G,stimA,stimC_25,177,1
5,N,stimB,stimC_25,208,0
6,G,stimA,stimC_25,152,1
7,G,stimA,stimC_25,209,1
8,N,stimB,stimD_25,161,0
9,N,stimB,stimD_25,190,0
10,N,stimB,stimD_25,185,0
11,N,stimB,stimC_25,191,0
12,G,stimA,stimC_25,172,1
13,G,stimA,stimD_25,187,1
14,N,stimB,stimD_25,199,0
15,G,stimA,stimD_25,151,1
16,G,stimA,stimD_25,155,1
17,N,stimB,stimC_25,209,0
18,G,stimA,stimC_25,189,1
19,N,stimB,stimC_25,164,0
20,N,stimB,stimC_25,174,0
21,N,stimB,stimC_25,157,0
22,N,stimB,stimD_25,166,0
23,N,stimB,stimD_25,165,0
24,G,stimA,stimD_25,170,1
25,N,stimB,stimC_25,159,0
26,G,stimA,stimC_25,171,1
27,G,stimA,stimD_25,157,1
28,G,stimA,stimD_25,203,1
29,G,stimA,stimD_25,155,1
30,N,stimB,stimC_25,206,0
31,G,stimA,stimC_25,174,1
32,N,stimB,stimC_25,152,0
33,G,stimA,stimD_25,170,1
34,G,stimA,stimC_25,194,1
35,N,stimB,stimC_25,198,0
36,N,stimB,stimD_25,183,0
37,N,stimB,stimC_25,191,0
38,G,stimA,stimC_25,204,1
39,N,stimB,stimD_25,153,0
40,G,stimA,stimD_25,168,1
41,G,stimA,stimD_25,152,1
42,G,stimA,stimC_25,161,1
43,N,stimB,stimD_25,193,0
44,G,stimA,stimC_25,194,1
45,N,stimB,stimD_25,203,0
46,N,stimB,stimD_25,185,0
47,N,stimB,stimC_25,154,0
48,G,stimA,stimC_25,206,1
49,G,stimA,stimC_25,198,1
50,N,stimB,stimC_25,167,0
51,N,stimC_25,stimB,183,0
52,N,stimC_25,stimB,210,0
53,N,stimD_25,stimB,193,0
54,N,stimC_25,stimB,201,0
55,G,stimD_25,stimA,176,1
56,G,stimD_25,stimA,178,1
57,G,stimD_25,stimA,184,1
58,N,stimC_25,stimB,166,0
59,G,stimC_25,stimA,195,1
60,G,stimC_25,stimA,180,1
61,G,stimC_25,stimA,189,1
62,G,stimC_25,stimA,168,1
63,G,stimC_25,stimA,158,1
64,N,stimC_25,stimB,179,0
65,N,stimC_25,stimB,172,0
66,N,stimD_25,stimB,198,0
67,N,stimC_25,stimB,197,0
68,G,stimD_25,stimA,190,1
69,N,stimC_25,stimB,158,0
70,G,stimC_25,stimA,151,1
71,N,stimD_25,stimB,184,0
72,G,stimC_25,stimA,168,1
73,N,stimC_25,stimB,207,0
74,G,stimC_25,stimA,209,1
75,N,stimD_25,stimB,167,0
76,G,stimC_25,stimA,198,1
77,G,stimC_25,stimA,204,1
78,G,stimC_25,stimA,186,1
79,N,stimD_25,stimB,203,0
80,N,stimD_25,stimB,207,0
81,G,stimD_25,stimA,183,1
82,G,stimD_25,stimA,194,1
83,N,stimD_25,stimB,185,0
84,N,stimD_25,stimB,151,0
85,G,stimC_25,stimA,177,1
86,G,stimD_25,stimA,189,1
87,N,stimC_25,stimB,181,0
88,N,stimD_25,stimB,172,0
89,N,stimC_25,stimB,207,0
90,G,stimC_25,stimA,200,1
91,N,stimC_25,stimB,201,0
92,G,stimC_25,stimA,172,1
93,G,stimC_25,stimA,186,1
94,G,stimD_25,stimA,203,1
95,N,stimC_25,stimB,206,0
96,G,stimD_25,stimA,190,1
97,N,stimC_25,stimB,162,0
98,N,stimC_25,stimB,189,0
99,G,stimD_25,stimA,154,1
100,N,stimD_25,stimB,174,0
101,G,stimA,stimD_25,190,1
102,G,stimA,stimC_25,206,1
103,N,stimB,stimC_25,199,0
104,N,stimB,stimC_25,179,0
105,N,stimB,stimD_25,196,0
106,G,stimA,stimD_25,175,1
107,N,stimB,stimD_25,209,0
108,G,stimA,stimD_25,210,1
109,G,stimA,stimD_25,202,1
110,N,stimB,stimD_25,173,0
111,G,stimA,stimC_25,177,1
112,N,stimB,stimD_25,165,0
113,G,stimA,stimC_25,197,1
114,N,stimB,stimC_25,203,0
115,N,stimB,stimD_25,205,0
116,G,stimA,stimD_25,184,1
117,G,stimA,stimC_25,186,1
118,N,stimB,stimC_25,159,0
119,N,stimB,stimD_25,204,0
120,G,stimA,stimC_25,177,1
121,N,stimB,stimC_25,162,0
122,G,stimA,stimC_25,204,1
123,G,stimA,stimC_25,196,1
124,G,stimA,stimD_25,203,1
125,G,stimA,stimC_25,167,1
126,G,stimA,stimC_25,191,1
127,N,stimB,stimD_25,190,0
128,N,stimB,stimD_25,157,0
129,N,stimB,stimC_25,174,0
130,N,stimB,stimC_25,166,0
131,N,stimB,stimC_25,193,0
132,G,stimA,stimC_25,167,1
133,N,stimB,stimC_25,204,0
134,G,stimA,stimD_25,200,1
135,G,stimA,stimD_25,173,1
136,G,stimA,stimD_25,180,1
137,N,stimB,stimD_25,192,0
138,G,stimA,stimC_25,200,1
139,N,stimB,stimC_25,187,0
140,N,stimB,stimD_25,185,0
141,G,stimA,stimD_25,169,1
142,G,stimA,stimD_25,177,1
143,N,stimB,stimC_25,193,0
144,G,stimA,stimD_25,203,1
145,G,stimA,stimC_25,193,1
146,N,stimB,stimD_25,151,0
147,N,stimB,stimC_25,191,0
148,N,stimB,stimC_25,176,0
149,N,stimB,stimD_25,176,0
150,G,stimA,stimD_25,157,1
151,N,stimD_25,stimB,199,0
152,G,stimD_25,stimA,169,1
153,G,stimD_25,stimA,165,1
154,G,stimD_25,stimA,170,1
155,N,stimC_25,stimB,172,0
156,G,stimD_25,stimA,183,1
157,G,stimC_25,stimA,184,1
158,N,stimC_25,stimB,174,0
159,N,stimC_25,stimB,174,0
160,N,stimC_25,stimB,181,0
161,G,stimC_25,stimA,190,1
162,N,stimC_25,stimB,208,0
163,G,stimC_25,stimA,194,1
164,G,stimD_25,stimA,174,1
165,G,stimC_25,stimA,200,1
166,N,stimC_25,stimB,158,0
167,N,stimC_25,stimB,153,0
168,N,stimC_25,stimB,155,0
169,N,stimD_25,stimB,159,0
170,G,stimC_25,stimA,169,1
171,N,stimC_25,stimB,168,0
172,G,stimC_25,stimA,150,1
173,N,stimC_25,stimB,182,0
174,N,stimD_25,stimB,155,0
175,N,stimC_25,stimB,158,0
176,G,stimC_25,stimA,188,1
177,G,stimD_25,stimA,202,1
178,G,stimC_25,stimA,209,1
179,N,stimD_25,stimB,184,0
