trialnum,trialtype,tex_Stim_Left,tex_Stim_Right,StimLocation,reward
1,G,stimB,stimD_25,179,1
2,G,stimB,stimD_25,203,1
3,N,stimC,stimA_25,171,0
4,G,stimB,stimD_25,177,1
5,N,stimC,stimD_25,208,0
6,G,stimB,stimA_25,152,1
7,G,stimB,stimA_25,209,1
8,N,stimC,stimD_25,161,0
9,N,stimC,stimA_25,190,0
10,N,stimC,stimD_25,185,0
11,N,stimC,stimD_25,191,0
12,G,stimB,stimA_25,172,1
13,G,stimB,stimA_25,187,1
14,N,stimC,stimD_25,199,0
15,G,stimB,stimD_25,151,1
16,G,stimB,stimD_25,155,1
17,N,stimC,stimD_25,209,0
18,G,stimB,stimD_25,189,1
19,N,stimC,stimA_25,164,0
20,N,stimC,stimD_25,174,0
21,N,stimC,stimA_25,157,0
22,N,stimC,stimD_25,166,0
23,N,stimC,stimD_25,165,0
24,G,stimB,stimA_25,170,1
25,N,stimC,stimD_25,159,0
26,G,stimB,stimA_25,171,1
27,G,stimB,stimD_25,157,1
28,G,stimB,stimD_25,203,1
29,G,stimB,stimD_25,155,1
30,N,stimC,stimD_25,206,0
31,G,stimB,stimD_25,174,1
32,N,stimC,stimA_25,152,0
33,G,stimB,stimA_25,170,1
34,G,stimB,stimA_25,194,1
35,N,stimC,stimD_25,198,0
36,N,stimC,stimD_25,183,0
37,N,stimC,stimD_25,191,0
38,G,stimB,stimD_25,204,1
39,N,stimC,stimA_25,153,0
40,G,stimB,stimA_25,168,1
41,G,stimB,stimD_25,152,1
42,G,stimB,stimD_25,161,1
43,N,stimC,stimA_25,193,0
44,G,stimB,stimA_25,194,1
45,N,stimC,stimD_25,203,0
46,N,stimC,stimD_25,185,0
47,N,stimC,stimD_25,154,0
48,G,stimB,stimA_25,206,1
49,G,stimB,stimA_25,198,1
50,N,stimC,stimA_25,167,0
51,N,stimA_25,stimC,183,0
52,N,stimD_25,stimC,210,0
53,N,stimD_25,stimC,193,0
54,N,stimA_25,stimC,201,0
55,G,stimD_25,stimB,176,1
56,G,stimA_25,stimB,178,1
57,G,stimD_25,stimB,184,1
58,N,stimA_25,stimC,166,0
59,G,stimA_25,stimB,195,1
60,G,stimA_25,stimB,180,1
61,G,stimD_25,stimB,189,1
62,G,stimD_25,stimB,168,1
63,G,stimD_25,stimB,158,1
64,N,stimA_25,stimC,179,0
65,N,stimA_25,stimC,172,0
66,N,stimD_25,stimC,198,0
67,N,stimD_25,stimC,197,0
68,G,stimA_25,stimB,190,1
69,N,stimA_25,stimC,158,0
70,G,stimA_25,stimB,151,1
71,N,stimD_25,stimC,184,0
