Item1,Item2
3138799614,278792
3139892196,278793
3140983745,278794
3142076326,278795
3143168908,278796
3144260451,278797
3145353032,278798
3146445802,278799
3147537351,278800
3148629933,278801
3149718412,278802
3150809961,278803
3151902542,278804
3152995123,278805
3154873105,278806
3155965875,278807
3157058450,278808
3158149999,278809
3159242586,278810
3160335162,278811
3161426711,278812
3162519292,278813
3163611874,278814
3164703423,278815
3165796187,278816
3166888768,278817
3167980317,278818
3169072899,278819
3170165480,278820
3171257029,278821
3172349610,278822
3173442186,278823
3174533924,278824
3175626504,278825
3176719086,278826
3177810636,278827
3178903217,278828
3179995797,278829
3181087341,278830
3182179923,278831
3183272504,278832
3184364242,278833
3185456822,278834
3186549404,278835
3188427386,278836
3189519961,278837
3190612542,278838
3191704091,278839
3192796673,278840
3193889442,278841
3194980986,278842
3196073567,278843
3197166148,278844
3198257698,278845
3199350279,278846
3200442860,278847
3201534410,278848
3202626985,278849
3203719755,278850
3204811304,278851
3205903884,278852
3206996467,278853
3208088016,278854
3209180591,278855
3210273172,278856
3211364727,278857
3212457492,278858
3213550073,278859
3214641622,278860
3215734204,278861
3216826778,278862
3217914232,278863
3219006813,278864
3220099394,278865
3221977376,278866
3223070146,278867
3224162721,278868
3225254276,278869
3226346857,278870
3227439432,278871
3228530982,278872
3229623563,278873
3230716145,278874
3231807876,278875
3232900458,278876
3233993039,278877
3235084587,278878
3236177170,278879
3237269751,278880
3238361300,278881
3239453875,278882
3240546455,278883
3241638195,278884
3242730776,278885
3243823357,278886
3244914907,278887
3246007488,278888
3247100055,278889
3248191612,278890
3249284193,278891
3250376963,278892
3251468513,278893
3252561094,278894
3253653668,278895
3255531657,278896
3256624232,278897
3257716805,278898
3258808362,278899
3259901131,278900
3260993705,278901
3262085257,278902
3263177838,278903
3264270411,278904
3265361969,278905
3266454550,278906
3267546099,278907
3268638681,278908
3269731444,278909
3270824018,278910
3271915575,278911
3273008156,278912
3274099706,278913
3275192287,278914
3276284868,278915
3277376411,278916
3278469180,278917
3279561763,278918
3280654336,278919
3281745893,278920
3282838474,278921
3283930023,278922
3285022599,278923
3286115180,278924
3287203846,278925
3289081836,278926
3290174417,278927
3291265960,278928
3292358541,278929
3293451122,278930
3294542672,278931
3295635252,278932
3296727834,278933
3297819572,278934
3298912147,278935
3300004729,278936
3301096278,278937
3302188859,278938
3303281441,278939
3304372990,278940
3305465570,278941
3306558335,278942
3307649884,278943
3308742466,278944
3309835047,278945
3310926596,278946
3312019178,278947
3313111752,278948
3314203302,278949
3315295883,278950
3316388653,278951
3317480203,278952
3318572784,278953
3319665359,278954
3320756908,278955
3322635921,278956
3323728503,278957
3324820052,278958
3325912822,278959
3327005403,278960
3328096947,278961
3329189528,278962
3330282109,278963
3331373658,278964
3332466240,278965
3333558821,278966
3334650370,278967
3335743134,278968
3336835715,278969
3337927265,278970
3339019846,278971
3340112427,278972
3341203977,278973
3342296552,278974
3343389133,278975
3344480871,278976
3345573451,278977
3346666033,278978
3347757583,278979
3348850164,278980
3349942739,278981
3351034288,278982
3352126870,278983
3353219640,278984
3354311188,278985
3356186106,278986
3357278681,278987
3358370231,278988
3359462812,278989
3360555393,278990
3361646943,278991
3362739524,278992
3363832288,278993
3364923837,278994
3366016418,278995
3367109000,278996
3368200549,278997
3369293130,278998
3370385712,278999
3371477255,279000
3372570025,279001
3373662606,279002
3374754155,279003
3375846736,279004
3376939318,279005
3378030867,279006
3379123442,279007
3380215976,279008
3381307762,279009
3382400343,279010
3383492924,279011
3384584474,279012
3385677048,279013
3386769589,279014
