trialnum,imagenum
1,2551
2,2824
3,1702
4,1382
5,1936
6,547
7,1936
8,164
9,1196
10,2839
11,2679
12,299
13,1162
14,1431
15,589
16,2162
17,1764
18,2834
19,2048
20,2825
21,2009
22,2828
23,1706
24,2803
25,2807
26,2839
27,1392
28,2017
29,1335
30,1041
31,1714
32,1242
33,19
34,2819
35,1862
36,1450
37,57
38,751
39,929
40,2257
41,73
42,739
43,2352
44,2836
45,108
46,2324
47,2340
48,2836
49,2805
50,177
51,738
52,2808
53,1445
54,249
55,1336
56,1564
57,954
58,923
59,1349
60,2811
61,2809
62,31
63,2836
64,495
65,1136
66,2813
67,2557
68,2679
69,2808
70,434
71,2063
72,229
73,1081
74,2045
75,2098
76,2806
77,1392
78,2043
79,2814
80,73
81,1921
82,1564
83,2811
84,2815
85,1431
86,2810
87,2304
88,2063
89,2103
90,1702
91,2818
92,1349
93,1706
94,687
95,164
96,1990
97,1349
98,2766
99,2793
100,2538
101,2324
102,2693
103,125
104,2827
105,690
106,2645
107,2804
108,790
109,1957
110,675
111,2816
112,974
113,2828
114,1032
115,1450
116,1466
117,1458
118,361
119,2418
120,551
121,84
122,1450
123,1714
124,2804
125,1879
126,2143
127,2324
128,1812
129,179
130,2485
131,1630
132,96
133,299
134,2504
135,1506
136,2836
137,2827
138,2283
139,363
140,2645
141,2283
142,2828
143,1336
144,2017
145,2840
146,545
147,1466
148,462
149,2823
150,1547
151,2836
152,680
153,790
154,2830
155,2824
156,2802
157,2806
158,1256
159,2814
160,954
161,2826
162,1586
163,751
164,1196
165,2836
166,1098
167,2478
168,2324
169,1466
170,2818
171,2704
172,680
173,2808
174,2838
175,2691
176,2645
177,2813
178,545
179,2485
180,2691
181,824
182,738
183,1859
184,1831
185,1957
186,2143
187,2811
188,2311
189,2538
190,2277
191,2824
192,1630
193,1481
194,115
195,318
196,1136
197,2551
198,719
199,256
200,1410
201,2277
202,177
203,585
204,2826
205,2825
206,2815
207,2823
208,952
209,1717
210,229
211,2807
212,589
213,164
214,2827
215,2803
216,2325
217,2806
218,1309
219,785
220,1706
221,1936
222,2818
223,954
224,2831
225,1041
226,2834
227,520
228,108
229,405
230,1739
231,849
232,1176
233,786
234,2803
235,1392
236,2808
237,547
238,2806
239,2679
240,579
241,2325
242,824
243,19
244,2590
245,2820
246,2810
247,636
248,1602
249,520
250,719
251,2828
252,73
253,1812
254,2827
255,1384
256,2831
257,2822
258,2809
259,2340
260,2038
261,2830
262,2444
263,1093
264,2839
265,1373
266,2827
267,2805
268,1828
269,76
270,687
271,527
272,1224
273,1450
274,1557
275,2066
276,1189
277,1168
278,734
279,2750
280,2103
281,2813
282,2838
283,1373
284,390
285,929
286,2819
287,2831
288,1309
289,84
290,84
291,2136
292,2835
293,2820
294,2827
295,1323
296,1764
297,2038
298,2808
299,57
300,675
301,1851
302,1093
303,785
304,1093
305,739
306,756
307,2402
308,2645
309,734
310,2691
311,2836
312,728
313,108
314,1506
315,728
316,2824
317,96
318,1458
319,1458
320,2741
321,796
322,1450
323,2107
324,1136
325,1435
326,96
327,408
328,1553
329,1514
330,2807
331,959
332,1506
333,2805
334,1648
335,1721
336,35
337,2827
338,2494
339,1217
340,660
341,1686
342,1188
343,1336
344,2252
345,2551
346,2374
347,959
348,952
349,2814
350,2325
351,1209
352,2826
353,785
354,1263
355,1768
356,2071
357,2185
358,2818
359,2832
360,1081
361,1118
362,1936
363,2826
364,1957
365,2679
366,771
367,2810
368,378
369,878
370,1189
371,1764
372,2277
373,579
374,2064
375,520
376,589
377,1705
378,335
379,2837
380,2159
381,2824
382,952
383,1093
384,2810
385,1291
386,2825
387,17
388,545
389,1910
390,76
391,2827
392,378
393,2504
394,1808
395,2817
396,2817
397,1336
398,675
399,2068
